channel,lenergy,uenergy,count
0,0.00000000e+00,1.98091030e-01,0.00000000e+00
1,1.98091030e-01,4.00114130e-01,0.00000000e+00
2,4.00114130e-01,6.02137230e-01,0.00000000e+00
3,6.02137230e-01,8.04160330e-01,0.00000000e+00
4,8.04160330e-01,1.00618343e+00,0.00000000e+00
5,1.00618343e+00,1.20820653e+00,0.00000000e+00
6,1.20820653e+00,1.41022963e+00,0.00000000e+00
7,1.41022963e+00,1.61225273e+00,0.00000000e+00
8,1.61225273e+00,1.81427583e+00,0.00000000e+00
9,1.81427583e+00,2.01629893e+00,0.00000000e+00
10,2.01629893e+00,2.21832203e+00,0.00000000e+00
11,2.21832203e+00,2.42034513e+00,0.00000000e+00
12,2.42034513e+00,2.62236823e+00,0.00000000e+00
13,2.62236823e+00,2.82439133e+00,0.00000000e+00
14,2.82439133e+00,3.02641443e+00,0.00000000e+00
15,3.02641443e+00,3.22843753e+00,0.00000000e+00
16,3.22843753e+00,3.43046063e+00,0.00000000e+00
17,3.43046063e+00,3.63248373e+00,0.00000000e+00
18,3.63248373e+00,3.83450683e+00,0.00000000e+00
19,3.83450683e+00,4.03652993e+00,0.00000000e+00
20,4.03652993e+00,4.23855303e+00,0.00000000e+00
21,4.23855303e+00,4.44057613e+00,0.00000000e+00
22,4.44057613e+00,4.64259923e+00,0.00000000e+00
23,4.64259923e+00,4.84462233e+00,0.00000000e+00
24,4.84462233e+00,5.04664543e+00,0.00000000e+00
25,5.04664543e+00,5.24866853e+00,0.00000000e+00
26,5.24866853e+00,5.45069163e+00,0.00000000e+00
27,5.45069163e+00,5.65271473e+00,0.00000000e+00
28,5.65271473e+00,5.85473783e+00,0.00000000e+00
29,5.85473783e+00,6.05676093e+00,0.00000000e+00
30,6.05676093e+00,6.25878403e+00,0.00000000e+00
31,6.25878403e+00,6.46080713e+00,0.00000000e+00
32,6.46080713e+00,6.66283023e+00,0.00000000e+00
33,6.66283023e+00,6.86485333e+00,0.00000000e+00
34,6.86485333e+00,7.06687643e+00,0.00000000e+00
35,7.06687643e+00,7.26889953e+00,0.00000000e+00
36,7.26889953e+00,7.47092263e+00,0.00000000e+00
37,7.47092263e+00,7.67294573e+00,0.00000000e+00
38,7.67294573e+00,7.87496883e+00,0.00000000e+00
39,7.87496883e+00,8.07699193e+00,0.00000000e+00
40,8.07699193e+00,8.27901503e+00,0.00000000e+00
41,8.27901503e+00,8.48103813e+00,0.00000000e+00
42,8.48103813e+00,8.68306123e+00,0.00000000e+00
43,8.68306123e+00,8.88508433e+00,0.00000000e+00
44,8.88508433e+00,9.08710743e+00,0.00000000e+00
45,9.08710743e+00,9.28913053e+00,0.00000000e+00
46,9.28913053e+00,9.49115363e+00,0.00000000e+00
47,9.49115363e+00,9.69317673e+00,0.00000000e+00
48,9.69317673e+00,9.89519983e+00,0.00000000e+00
49,9.89519983e+00,1.00972229e+01,0.00000000e+00
50,1.00972229e+01,1.02992460e+01,0.00000000e+00
51,1.02992460e+01,1.05012691e+01,0.00000000e+00
52,1.05012691e+01,1.07032922e+01,0.00000000e+00
53,1.07032922e+01,1.09053153e+01,0.00000000e+00
54,1.09053153e+01,1.11073384e+01,0.00000000e+00
55,1.11073384e+01,1.13093615e+01,0.00000000e+00
56,1.13093615e+01,1.15113846e+01,0.00000000e+00
57,1.15113846e+01,1.17134077e+01,0.00000000e+00
58,1.17134077e+01,1.19154308e+01,0.00000000e+00
59,1.19154308e+01,1.21174539e+01,0.00000000e+00
60,1.21174539e+01,1.23194770e+01,0.00000000e+00
61,1.23194770e+01,1.25215001e+01,0.00000000e+00
62,1.25215001e+01,1.27235232e+01,0.00000000e+00
63,1.27235232e+01,1.29255463e+01,0.00000000e+00
64,1.29255463e+01,1.31275694e+01,0.00000000e+00
65,1.31275694e+01,1.33295925e+01,0.00000000e+00
66,1.33295925e+01,1.35316156e+01,0.00000000e+00
67,1.35316156e+01,1.37336387e+01,0.00000000e+00
68,1.37336387e+01,1.39356618e+01,0.00000000e+00
69,1.39356618e+01,1.41376849e+01,0.00000000e+00
70,1.41376849e+01,1.43397080e+01,0.00000000e+00
71,1.43397080e+01,1.45417311e+01,0.00000000e+00
72,1.45417311e+01,1.47437542e+01,0.00000000e+00
73,1.47437542e+01,1.49457773e+01,0.00000000e+00
74,1.49457773e+01,1.51478004e+01,0.00000000e+00
75,1.51478004e+01,1.53498235e+01,0.00000000e+00
76,1.53498235e+01,1.55518466e+01,0.00000000e+00
77,1.55518466e+01,1.57538697e+01,0.00000000e+00
78,1.57538697e+01,1.59558928e+01,0.00000000e+00
79,1.59558928e+01,1.61579159e+01,0.00000000e+00
80,1.61579159e+01,1.63599390e+01,0.00000000e+00
81,1.63599390e+01,1.65619621e+01,0.00000000e+00
82,1.65619621e+01,1.67639852e+01,0.00000000e+00
83,1.67639852e+01,1.69660083e+01,0.00000000e+00
84,1.69660083e+01,1.71680314e+01,0.00000000e+00
85,1.71680314e+01,1.73700545e+01,0.00000000e+00
86,1.73700545e+01,1.75720776e+01,0.00000000e+00
87,1.75720776e+01,1.77741007e+01,0.00000000e+00
88,1.77741007e+01,1.79761238e+01,0.00000000e+00
89,1.79761238e+01,1.81781469e+01,0.00000000e+00
90,1.81781469e+01,1.83801700e+01,0.00000000e+00
91,1.83801700e+01,1.85821931e+01,0.00000000e+00
92,1.85821931e+01,1.87842162e+01,0.00000000e+00
93,1.87842162e+01,1.89862393e+01,0.00000000e+00
94,1.89862393e+01,1.91882624e+01,0.00000000e+00
95,1.91882624e+01,1.93902855e+01,0.00000000e+00
96,1.93902855e+01,1.95923086e+01,0.00000000e+00
97,1.95923086e+01,1.97943317e+01,0.00000000e+00
98,1.97943317e+01,1.99963548e+01,0.00000000e+00
99,1.99963548e+01,2.01983779e+01,1.40000000e+01
100,2.01983779e+01,2.04004010e+01,1.60000000e+02
101,2.04004010e+01,2.06024241e+01,1.88000000e+02
102,2.06024241e+01,2.08044472e+01,2.00000000e+02
103,2.08044472e+01,2.10064703e+01,1.99000000e+02
104,2.10064703e+01,2.12084934e+01,2.02000000e+02
105,2.12084934e+01,2.14105165e+01,1.73000000e+02
